,EN,FR,WA
41,The fold trends follow more or less the pyrenean direction or parallel to the thrust fronts but turn NE-SW near the Segre River (e.g. the Oliana Anticline).,Les axes de plis suivent en général la direction pyrénéenne ou la direction du front des chevauchements mais tournent au NE/SO près du Segre (par exemple l'anticlinal d'Oliana).,0-0 2-1 3-4 5-5 6-6 7-7 8-9 9-8 10-10 11-12 12-13 13-15 14-16 15-14 15-16 16-17 17-18 18-20 19-21 20-22 21-23 22-24 23-25 25-26 26-27 26-28 27-29 28-32 29-30 30-33 31-34
42,Paisley had been linked in press reports to local property developer Seymour Sweeney when in 2007 Sweeney admitted that Paisley had lobbied on his behalf regarding plans for a private visitors' centre at the Giant's Causeway the only UNESCO World Heritage Site in Northern Ireland.,En 2007 Sweeney a admis que Paisley avait fait du lobbying en sa faveur pour un projet de centre des visiteurs à la Chaussée des Géants classé Patrimoine Mondial de l'UNESCO dans le Nord de l'Irlande.,0-6 1-3 12-2 14-0 15-1 16-2 17-4 18-5 19-6 20-7 21-10 22-11 23-12 24-13 25-14 26-16 27-14 28-15 29-17 30-20 32-18 33-21 34-22 35-25 36-24 36-25 37-23 40-31 41-28 42-27 43-26 44-32 45-36 46-37 47-38
43,Although the Royal Netherlands Navy intervened—the torpedo boats Z5 and TM 51 attacked the Willemsbrug and later the destroyer HNLMS Van Galen sailed up the Nieuwe Waterweg to bombard the airfield at short range—this only resulted in the Van Galen foundering after being bombed.,Bien que la Marine royale néerlandaise soit intervenue d'abord avec les torpilleurs Z5 et TM 51 qui attaquèrent le Willemsburg et que le destroyer Hr.Ms. van Galen (nl) voguait sur la Nieuwe Waterweg pour bombarder l'aéroport à courte distance cela ne conduisit qu'au naufrage du Van Galen après avoir été bombardé.,0-0 0-1 1-2 2-4 3-5 4-3 4-5 5-7 7-10 7-11 8-12 9-12 10-13 11-14 12-15 13-16 14-18 15-19 16-20 17-21 18-22 19-23 20-24 21-25 21-27 21-28 22-29 23-30 23-33 24-34 25-35 26-36 27-37 28-38 29-39 30-40 31-41 32-41 32-42 33-43 34-44 35-45 36-46 37-46 38-47 39-48 40-50 41-52 42-53 43-54 44-51 44-56 45-55 46-57 47-58 48-59
44,At Delft University he formed a team with Bas Lansdorp that worked on developing kites that could retrieve energy from the sky.,C'est à l'Université de Delft qu'il a formé avec Bas Lansdorp une équipe chargée de développer des cerfs-volants capables de récupérer l'énergie du vent.,0-2 0-3 1-6 2-4 2-5 3-8 4-10 5-14 6-15 7-11 8-12 9-13 10-7 10-16 11-9 12-17 13-18 14-20 15-23 16-23 17-25 18-27 19-26 20-28 21-29 22-30
45,In 1861 Edward Lartet showed evidence that humans had coexisted with extinct quaternary animals whose bones had cut marks on them and subsequently the existence of cave paintings at Les Eyzies and La Madeleine.,En 1861 Edouard Lartet produisit les preuves de ce que l’Homme avait coexisté avec des animaux quaternaires aujourd’hui éteints dont les ossements trouvés présentent des entailles et révéla ensuite l’existence de peintures dans les cavernes des Eyzies et de la Madeleine.,0-0 1-1 2-2 3-3 4-4 5-6 6-9 7-11 8-12 9-13 10-14 11-15 12-17 13-16 14-20 15-22 16-24 18-26 21-27 22-29 23-30 24-31 25-32 26-36 27-33 27-36 28-34 29-37 30-38 31-39 32-40 32-41 33-42 34-43
46,As of August 8 transported by truck into the region Verdun; work.,À partir du 8 août transport par camions dans la région de Verdun ; travaux.,0-0 0-1 1-2 2-4 3-3 4-5 5-6 6-7 7-8 8-9 9-10 9-11 10-12 11-13 12-14 13-15
47,Suchet attacked the Spanish army in the Battle of Alcañiz on 23 May 1809.,Prenant l'offensive Suchet attaque l'armée espagnole lors de la bataille d'Alcañiz le 23 mai 1809.,0-3 1-4 2-5 3-7 4-6 5-8 6-10 7-11 8-12 9-13 10-14 11-15 12-16 13-17 14-18
48,For example the 1888 stone barracks contains a museum with artifacts from different time periods in the fort's history and visitors can tour the reconstructed trading post and an interpretive archaeological site.,Par exemple les baraquements en pierres de 1888 contiennent un musée avec des objets anciens des différentes périodes de l'histoire du fort et les visiteurs peuvent voir le poste de traite reconstitué et un site archéologique d'interprétation.,0-0 1-1 2-2 2-6 3-7 4-4 4-5 5-3 6-8 7-9 8-10 9-11 10-13 11-15 12-16 14-17 15-18 16-21 17-22 18-19 19-20 20-23 21-24 21-25 22-26 23-27 24-28 25-32 26-31 27-29 28-33 29-34 30-38 31-36 32-35 33-39
49,The Xplorair is a project of compact VTOL aircraft without rotating airfoil from aerospace engineer Michel Aguilar funded by the French Armed Forces procurement agency DGA and supported by various European aeronautics firms such as Dassault Systèmes EADS Innovation Works MBDA Altran Technologies Sogeti Turbomeca COMAT Aerospace and the Institut Pprime.,L'Xplorair est un projet d'aéronef à décollage et atterrissage verticaux sans voilure tournante de l'ingénieur aéronautique Michel Aguilar financé par la DGA et la DGCIS et soutenu par de multiples partenaires français du secteur aéronautique et spatial tels que Dassault Systèmes EADS Innovation Works MBDA Altran Technologies Sogeti Turbomeca COMAT Aerospace et l'Institut Pprime.,0-0 1-1 2-2 3-3 4-4 5-5 7-11 8-6 9-12 10-13 11-8 11-13 12-15 13-18 14-18 15-19 16-20 17-21 18-22 19-23 20-17 24-26 25-24 25-27 26-28 27-29 28-30 29-31 29-32 30-34 31-37 32-33 33-40 34-41 35-42 36-43 37-44 38-45 39-46 40-47 41-48 42-49 43-50 44-51 45-52 46-53 47-54 48-55 49-56 50-57 51-58
50,Christophe Pignol (born in 1969) former professional footballer twice champion of France (1995 2000) founder of the Christophe Pignol association to fight against leukemia.,Christophe Pignol (né en 1969) ancien footballeur professionnel double champion de France (1995 2000) fondateur de l'association Christophe Pignol visant à lutter contre la leucémie.,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-9 9-8 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-22 22-23 23-21 24-24 25-26 26-27 27-29 28-30
51,On 2 February 2017 Ewa Dziedzic Mariella Muller and Michaela Tulipan officially registered the NGO located in Vienna and chaired by Silvia Casalino and Mariella Müller.,Le 2 février 2017 Ewa Dziedzic Mariella Muller et Michaela Tulipan enregistrent officiellement l'ONG basée à Vienne et présidée par Silvia Casalino et Mariella Müller.,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-12 12-11 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26
52,They performed only one concert that was open to the public and did so wearing masks.,Ils n'ont fait qu'un seul concert ouvert au public et portaient ce jour-là des masques.,0-0 1-3 2-6 3-5 4-7 7-8 8-9 9-9 10-10 11-11 12-12 14-16 15-17 16-18
53,"In 1916 Sazonova staged an opulent production of The Forces of Love in Magic at the cabaret ""Comedian’s Halt"" in Saint Petersburg.",En 1916 Sazonova met en scène une production opulente de The Forces of Love in Magic au cabaret Comedian's Halt de Saint-Pétersbourg.,0-0 1-1 2-2 3-3 3-5 4-6 5-8 6-7 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 16-17 18-18 19-18 19-19 20-20 21-20 22-21 23-22 24-22 25-23
54,There are nevertheless Orthodox authorities who recognize the efficacy of sex reassignment surgery (SRS) in changing halachic sex designation.,Néanmoins certaines autorités orthodoxes reconnaissent l'efficacité de la chirurgie de réassignation sexuelle pour changer la désignation du sexe halakhique.,0-1 2-0 3-3 4-2 5-4 6-4 7-5 8-6 9-7 10-12 11-11 11-16 12-9 13-8 16-13 17-14 18-19 19-18 20-16 21-20
55,However CB Mass member Curbin allegedly embezzled Epik High and TBNY's funds for their first studio album effectively causing the disbandment of CB Mass (and the creation of Dynamic Duo without Curbin).,Cependant Curbin de CB Mass a allègrement détourné les fonds qu'Epik High et TBNY pour leur premier album studio causant la séparation de CB Mass (et la création de Dynamic Duo sans Curbin).,0-0 1-3 2-4 3-2 4-1 5-5 6-7 7-11 8-12 9-13 10-14 11-8 11-10 12-9 13-15 14-16 15-17 16-19 17-18 18-20 19-20 20-21 21-22 22-23 23-24 24-25 25-26 26-27 27-28 28-29 29-30 30-31 31-32 32-33 33-34 34-35 35-36
56,Orlando City SC plans to maintain ties with Louisville.,Malgré ce déménagement Orlando City SC prévoit de maintenir des liens avec Louisville.,0-3 1-4 2-5 3-6 4-7 5-8 6-10 7-11 8-12 9-13
57,"In France companies such as Schuepbach Energy GDF Suez Total and Devon Energy obtained three exploration permits in March 2010 (permits so-called ""Montelimar"" ""Nant"" and ""Villeneuve de Berg"") for a total area of 9672 km2 in the departments of Ardèche Drôme Lozère Hérault Gard and Vaucluse.",En France Schuepbach Energy GDF Suez Total et Devon Energy ont obtenu en mars 2010 trois permis d’exploration (les permis dits de « Montélimar » de « Nant » et de « Villeneuve de Berg » ) pour une superficie totale de 9 672 km2 sur les départements de l’Ardèche de la Drôme de la Lozère de l’Hérault du Gard et du Vaucluse.,0-0 1-1 2-10 5-2 6-3 7-4 8-5 9-6 10-7 11-8 12-9 13-11 14-15 15-18 16-16 16-17 17-12 18-13 19-14 20-19 21-20 21-21 24-22 25-24 26-25 27-26 28-28 29-29 30-30 31-31 32-33 33-34 34-35 35-36 36-37 37-38 38-39 39-40 40-42 41-41 42-43 43-44 43-45 44-46 45-47 46-48 47-49 48-50 48-51 49-52 50-53 50-55 51-58 52-61 52-62 53-63 54-64 54-65 55-66 56-67
58,The controversy on Hrafnkels saga remains unsettled.,Le débat relatif à la saga de Hrafnkell reste ouvert.,0-0 0-4 1-1 1-2 2-3 3-7 4-5 5-8 6-8 6-9 7-10
59,The Northern Sporades (Skiathos Skopelos and Alonissos) were Byzantine possessions that came under Venetian rule after the Fall of Constantinople in 1453.,Les Sporades septentrionales (Skiathos Skópelos et Alonissos) possessions byzantines passent sous domination vénitienne après la chute de Constantinople en 1453.,0-0 1-2 2-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-11 10-10 11-9 13-11 14-12 15-14 16-13 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 24-22
60,The oldest-known inscribed stone is from Shinobu and dates to 1664.,La plus ancienne pierre gravée connue provient du mont Shinobu et date de 1664.,0-0 1-1 2-5 3-2 4-4 5-3 6-6 7-7 8-8 8-9 9-10 10-11 11-12 12-13 13-14
61,2016 : Serie Sans Repères represented by A2Z Art Gallery Bali Indonésie.,2016 : Série Sans Repères représenté par A2Z Art Gallery Bali Indonésie .,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12
62,The city slowly grew after World War II; by 1960 it had reached its 1880 boom-time population.,La ville a grandi lentement après la Seconde Guerre mondiale pour atteindre dans les années 1960 le niveau de population qu'elle avait vers 1880.,0-0 1-1 2-4 3-3 4-5 5-6 5-7 6-8 7-9 9-23 10-15 11-21 13-11 14-16 15-24 18-18 19-19 20-25
63,"The Landrecht (German:  ""customary law of the region"" plural: Landrechte) was the law applying within an individual state in the Holy Roman Empire during the Middle Ages and Early Modern times.","Le Landrecht (allemand:  ""droit coutumier de la région""pluriel: Landrechte) était la loi qui s’appliquait au sein du Saint Empire romain germanique au Moyen Âge et au début de l’époque moderne.",0-0 1-1 2-2 3-3 4-4 6-6 7-8 8-7 9-9 10-10 11-11 12-11 13-11 14-11 14-12 15-13 16-14 17-15 18-16 19-17 20-20 25-22 26-23 27-24 28-26 29-25 30-28 31-35 32-29 33-30 34-31 35-33 36-37 37-36 38-38
64,Sporadically he received orders from the Cipher Bureau; Captain Maksymilian Ciężki chief of the Bureau's German section (BS 4) had known him since his army years.,Sporadiquement il reçoit des commandes du Biuro Szyfrów; le capitaine Maksymilian Ciężki chef du BS-4 (Section allemande) connait Fokczyński depuis l'armée.,0-0 1-1 2-2 3-4 4-4 5-5 6-7 7-6 8-8 9-10 10-11 11-12 12-13 13-14 14-9 17-18 18-17 19-16 20-15 21-15 22-19 23-20 24-20 25-21 26-22 27-23 28-24 30-25
65,During the Sengoku period fearing the power of the monks of the Hongan-ji Oda Nobunaga tried to destroy it.,Au cours de la période Sengoku craignant la puissance des moines du Hongan-ji Oda Nobunaga essaye de le détruire.,0-0 0-1 1-2 1-3 2-5 3-4 4-6 5-7 6-8 7-9 8-9 9-10 10-11 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-20 20-19 21-21
66,In all this is an area no larger than 6000 square kilometers half of the extended Silicon Valley's geographical coverage.,Au total il s'agit d'une superficie ne dépassant pas 6 000 kilomètres carrés la moitié de celle de la Silicon Valley.,0-0 1-1 2-2 3-3 3-4 4-6 5-7 6-8 7-9 8-10 9-11 9-12 10-14 11-13 12-15 12-16 13-17 14-20 16-21 17-22 18-19 20-18 21-23
67,He also became the President of the Council of the Churches of Africa was a member of the World Council of Churches of Geneva and a director of the Christian Institute for Peace.,Il est également devenu le président du Conseil des Églises d'Afrique ainsi que membre du Conseil œcuménique des Églises de Genève et directeur de l'Institut chrétien pour la paix.,0-0 1-2 2-3 3-4 4-5 5-6 6-6 7-7 8-8 9-9 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-17 18-17 19-16 20-18 21-19 22-20 23-21 24-22 26-23 27-24 28-25 29-27 30-26 31-28 32-30 33-31
68,"In 1999 Jos Stam published the ""Stable Fluids"" method which exploited a semi-Lagrangian advection technique and implicit integration of viscosity to provide unconditionally stable behaviour.",En 1999 Jos Stam a publié une méthode nommée « fluides stables » qui exploitait une technique d'advection semi-lagrangienne et une intégration implicite de la viscosité pour fournir un comportement inconditionnellement stable.,0-0 1-1 2-2 3-3 4-4 4-5 5-6 5-8 6-9 7-10 7-11 8-10 8-11 9-12 10-7 11-13 12-14 13-15 13-21 14-19 15-17 15-19 16-19 17-18 18-16 19-20 20-23 21-22 22-24 22-25 23-26 24-27 25-28 26-29 26-31 27-32 28-30 29-33
69,The official exchange rate was 1 franc = 0.1645 ℛℳ.,Le taux de change était de 1 franc pour 01645 reichsmark.,0-0 1-2 2-3 3-1 4-4 4-5 5-6 6-7 7-8 8-9 9-10 9-11
70,Nothhelm oversaw the reorganisation of the Mercian dioceses which took place in 737.,Nothhelm supervise également la réorganisation des diocèses de Mercie en 737.,0-0 1-1 1-2 2-3 3-4 4-5 5-7 6-8 7-6 11-9 12-10 13-11
71,Prince Kuni Asaakira was one of his classmates.,Le prince Asaakira Kuni est l'un de ses camarades de classe.,0-1 1-3 2-2 3-4 4-6 5-7 6-8 7-9 7-11 8-12
72,It made its début at Rallye Monte Carlo 2009 with factory team Škoda Motorsport and drivers Jan Kopecký and Juho Hänninen.,Elle a réalisé ses débuts au Rallye Monte-Carlo 2009 avec comme pilotes Jan Kopecký et Juho Hänninen.,0-0 1-2 2-3 3-4 4-5 5-6 6-7 6-8 7-9 8-10 9-11 14-12 15-13 16-14 17-15 18-16 19-17 20-18 21-19
73,In option Y despite the fact that the number of black balls is uncertain the probability of selecting a winning ball is also 1 in 3.,Dans l'option Y malgré le fait que le nombre de boules noires soit incertain la probabilité de choisir une boule gagnante est également de 1 sur 3.,0-0 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-12 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-21 20-20 21-22 22-23 23-25 24-26 25-27 26-28
74,The degree d Schur polynomials in n variables are a linear basis for the space of homogeneous degree d symmetric polynomials in n variables.,Les polynômes de Schur de degré d en n variables forment une base de l'espace des polynômes symétriques homogènes de degré d en n variables.,0-0 1-5 2-6 3-3 4-1 5-7 6-8 7-9 8-10 9-11 11-12 12-13 13-14 14-15 15-16 16-18 16-19 17-21 18-22 19-18 20-17 20-19 21-23 22-24 23-25 24-26
75,"Zenshūyo (禅宗様 ""Zen style"") is a Japanese Buddhist architectural style derived from Chinese Song Dynasty architecture.",Le zenshūyo (禅宗様 lit. « style Zen »?) est un style d'architecture bouddhiste japonais dérivé de l'architecture de la dynastie Song chinoise.,0-1 1-2 2-3 3-6 4-8 5-7 6-9 7-11 8-12 9-13 10-18 11-17 12-16 13-14 14-19 15-20 16-27 17-26 18-25 19-22 20-28
76,In the months leading up to Yeates' death Tabak had used his computer to research escort agencies during business trips in the United Kingdom and United States and contacted several sex workers by phone.,Dans les mois précédents la mort de Joanna Yeates Vincent Tabak utilise son ordinateur pour communiquer avec des agences d'escorte féminines lorsqu'il voyage par affaires au Royaume-Uni et aux États-Unis et téléphone à des prostitués.,0-0 1-1 2-2 3-3 5-3 6-8 8-5 9-10 10-23 11-11 12-12 13-13 14-14 15-16 16-20 17-18 18-22 19-26 20-24 21-27 22-32 23-28 24-30 25-31 26-33 27-33 28-34 29-15 29-35 30-37 31-38 32-38 33-25 34-35 35-39
77,More recent major contributors to the genre include Ralph Vaughan Williams Granville Bantock Arnold Bax Peter Warlock Gustav Holst and Benjamin Britten.,Parmi les récents contributeurs importants de ce genre musical figurent Ralph Vaughan Williams Granville Bantock Arnold Bax Peter Warlock Gustav Holst et Benjamin Britten.,1-2 2-4 3-3 4-5 5-6 6-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 20-22 21-23 22-24
78,Albanian iso-polyphony is a traditional part of Albanian folk music and as such is included in UNESCO's intangible cultural heritage list.,L'Iso-polyphonie albanaise est une forme musicale traditionnelle de musique albanaise incluse par l'UNESCO sur la liste représentative du patrimoine culturel immatériel de l'humanité.,0-0 1-1 2-2 3-3 4-5 5-6 6-9 7-7 8-10 9-12 10-8 11-11 16-13 17-17 18-16 19-18 20-20 20-24 21-23 22-22 23-19 24-28
79,It has three schools.,Il y a trois écoles.,0-0 1-2 2-3 3-4 4-5
80,Five days later she spoke on Wall Street to an estimated 50000 people.,Cinq jours plus tard elle s'exprime à Wall Street devant une foule estimée à 50 000 personnes.,0-0 1-1 2-3 3-4 4-6 5-7 6-8 7-9 8-10 9-11 10-13 11-15 11-16 12-17 13-18
81,The island is visited annually by some 4000 tourists.,L'île est visitée chaque année par quelque 4 000 touristes.,0-0 1-1 2-2 3-3 4-5 5-6 6-7 7-9 8-10 9-11
82,His support for the Kansas–Nebraska Act and his determination to enforce the Fugitive Slave Act helped polarize the sections.,Son soutien à l'acte Kansas-Nebraska et sa détermination à appliquer le Fugitive Slave Act aggravèrent les divisions.,0-0 1-1 2-2 3-3 4-5 5-6 6-7 7-4 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-17 19-18 20-19 21-20
83,The HF120 engine’s components interact with greater efficiency by incorporating 3D aerodynamic design and its effusion-cooled combustor design emits few NOx CO and HC.,Les composants du HF120 interagissent avec une meilleure efficacité grâce à l'emploi de conception tridimensionnelle assistée par ordinateur et sa chambre de combustion refroidie par diffusion émet peu d'oxydes d'azote monoxydes de carbone et hydrocarbures imbrûlés.,0-2 1-3 2-1 3-0 4-1 5-4 6-5 7-6 7-7 8-8 9-9 10-11 10-12 11-15 12-8 12-15 13-14 14-19 15-20 16-24 18-24 19-23 19-25 21-27 22-28 22-29 23-30 24-35 25-36 27-39
84,The Japanese were consolidating their position in Burma.,Les Japonais consolident leurs positions en Birmanie.,0-0 1-1 3-2 4-3 5-4 6-5 7-6 8-7
85,Conclusions reached by three separate official commissions set up to investigate the issue unanimously found that the majority of the children were buried having died from diseases.,Les différentes commissions officielles israéliennes qui se sont penchées sur la question ont conclu que la grande majorité d'entre eux sont morts de maladie.,0-13 1-8 3-0 4-1 5-3 6-2 7-5 8-8 10-9 11-10 12-11 14-13 15-14 16-15 17-16 17-17 18-18 19-20 20-19 21-21 22-22 24-22 25-23 26-24 27-25
86,"The song was performed 20th (last) on the night following Belgium's Pas de Deux with ""Rendez-vous"".",Il s'agit de la vingtième et dernière chanson interprétée lors de la soirée après Pas de deux qui représentaient la Belgique avec Rendez-vous.,0-0 1-8 2-9 3-9 4-5 5-6 6-7 7-11 8-10 9-12 10-13 11-14 12-21 13-20 14-15 15-16 16-17 17-22 18-19 19-23 20-24 21-24 22-18 23-25
87,According to tradition the Apostle Paul wrote the letter while he was in prison in Rome (around AD 62).,Selon la tradition Paul de Tarse aurait écrit cette lettre alors qu'il se trouvait à Rome (vers 61-62).,0-0 1-1 2-2 3-4 4-5 5-3 6-7 7-8 8-9 9-10 10-12 11-14 12-13 14-15 15-16 16-17 17-18 19-19 19-21 20-22 21-23
